Date,NVDA.O (TRDPRC_1),JPM (TRDPRC_1),GS (TRDPRC_1),AAPL.O (TRDPRC_1),MSFT.O (TRDPRC_1),TSLA.O (TRDPRC_1),META.O (TRDPRC_1),GOOGL.O (TRDPRC_1),BLK (TRDPRC_1),BX (TRDPRC_1),TSM (TRDPRC_1),XAU= (BID),AMZN.O (TRDPRC_1),WMT (TRDPRC_1),COST.O (TRDPRC_1),NKE (TRDPRC_1),PFE (TRDPRC_1),TSN (TRDPRC_1),SPY (TRDPRC_1),F (TRDPRC_1)
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
24/8/2023,47.16,147.23,319.96,176.38,319.97,230.04,286.75,129.78,673.16,99.02,92.53,1917.4348,131.84,52.3,519.89,97.63,36.16,54.18,436.89,11.58
23/8/2023,47.12,147.37,322.33,181.12,327,236.86,294.24,132.37,678.77,99.7,94.22,1914.3149,135.52,52.7,528.83,98.75,36.66,53.47,443.03,11.79
22/8/2023,45.67,146.38,318.79,177.23,322.46,233.19,287.6,129.08,665.84,98.26,92.24,1897.4651,134.25,52.34,526.4,101.46,36.84,54.04,438.15,11.7
21/8/2023,46.97,149.48,322.06,175.84,321.88,231.28,289.9,128.37,671.59,98.79,92.56,1893.9449,134.68,52.5,531.13,102.86,37.01,54.81,439.34,11.8
18/8/2023,43.3,148.97,324.93,174.49,316.48,215.49,283.25,127.46,670.25,98.72,91.1,1888.1934,133.22,52.64,532.82,104.81,36.66,54.63,436.5,11.79
17/8/2023,43.34,148.63,327.52,174,316.88,219.22,285.09,129.92,674,96.8,91.64,1888.8873,133.98,51.9,534.95,105.05,36.51,54.1,436.29,11.66
16/8/2023,43.49,150.19,329.11,176.57,320.4,225.6,294.29,128.7,672.24,96.9,91.78,1891.7622,135.07,53.09,546.62,106.53,35.48,53.4,439.64,11.64
15/8/2023,43.94,150.83,332.21,177.45,321.86,232.96,301.95,129.78,672.82,97.47,91.68,1901.5571,137.67,53.06,546.09,106.55,35.39,53.73,442.89,11.81
14/8/2023,43.75,154.77,337.74,179.46,324.04,239.76,306.19,131.33,692.93,98.04,93.07,1907.9026,140.57,53.33,548.99,107.64,36.07,54.41,448.11,12.03
11/8/2023,40.85,154.45,340.73,177.79,321.01,242.65,301.64,129.56,695.61,98.37,91.99,1913.3182,138.41,53.73,550.44,108.09,36.04,55.24,445.65,11.97
10/8/2023,42.39,153.56,340.4,177.97,322.93,245.34,305.74,129.69,697.01,100.2,94.8,1912.0607,138.56,53.42,549.01,109.03,35.72,53.75,445.91,11.99
09/8/2023,42.55,153.79,342.69,178.19,322.23,242.19,305.21,129.66,692.09,100.09,93.98,1914.589,137.85,53.64,547.26,109.69,35.84,53.82,445.75,12.55
08/8/2023,44.66,155.88,348.26,179.8,326.05,249.7,312.64,131.4,696.98,103.77,94.49,1924.8151,139.94,53.55,543.75,109.69,35.64,55.05,448.75,12.7
07/8/2023,45.42,156.76,355.56,178.85,330.11,251.45,316.56,131.53,712.55,103.93,96.35,1936.3871,142.22,53.5,545.99,110.48,35.68,54.3,450.71,12.75
04/8/2023,44.68,156.02,353.22,181.99,327.78,253.86,310.73,128.11,710.28,102.73,96.16,1941.6233,139.57,52.78,539.77,108.81,35.02,56.46,446.81,12.71
03/8/2023,44.52,156.35,353.16,191.17,326.66,259.32,313.19,128.45,710.17,102.61,94.98,1933.7369,128.91,53.09,545.29,108.64,35,56.27,448.84,12.91
02/8/2023,44.27,155.4,351.1,192.58,327.5,254.11,314.31,128.38,717.44,102.89,95.7,1933.5649,128.21,53.07,540.07,107.51,35.35,55.41,450.13,12.85
01/8/2023,46.51,157.18,357.72,195.6,336.34,261.07,322.71,131.55,732.26,106.08,98.4,1944.0793,131.69,53.04,543.12,109.4,35.61,55.32,456.48,13.23
31/7/2023,46.73,157.96,355.87,196.45,335.92,267.43,318.6,132.72,738.85,104.79,99.15,1964.1884,133.68,53.29,548.2,110.39,36.06,55.72,457.79,13.02
28/7/2023,46.75,156.91,353.23,195.83,338.37,266.44,325.48,132.58,738.34,105.05,100.86,1959.2013,132.21,53.3,550.79,108.62,36.07,56.35,456.92,13.07
27/7/2023,45.9,156.02,354.51,193.22,330.72,255.71,311.71,129.4,729.07,103.28,99.35,1944.9862,128.25,53.05,549.34,107.67,36.2,55.41,452.49,13.53
26/7/2023,45.45,157.76,357.56,194.5,337.77,264.35,298.57,129.27,743.16,104.71,99.41,1972.1031,128.15,53.25,553.58,109.3,37.21,55.04,455.51,13.47
25/7/2023,45.68,156.82,354.7,193.62,350.98,265.28,294.47,122.21,746.02,104.4,100.32,1964.5824,129.13,53.06,552.62,108.3,37.06,54.23,455.44,13.39
24/7/2023,44.61,158,358.93,192.75,345.11,269.06,291.61,121.53,756.58,105.13,98.25,1954.5126,128.8,53.1,551.39,108.77,37.51,53.47,454.2,13.76
21/7/2023,44.31,154.95,351.96,191.94,343.77,260.02,294.26,120.02,751.21,104.89,97.25,1960.2273,130,52.79,545.46,109.06,37.4,52.66,452.18,13.73
20/7/2023,45.52,156.15,350.86,193.13,346.87,262.9,302.52,119.2,750.88,107.51,97.86,1969.6201,129.96,52.49,544.58,107.53,36.77,52.5,452.18,13.83
19/7/2023,47.08,154.25,340.55,195.1,355.08,291.26,316.01,122.03,747.3,108.17,103.06,1977.251,135.36,51.54,541.79,109.88,36.44,52.27,455.2,13.9
18/7/2023,47.49,153.66,337.27,193.73,359.49,293.34,312.05,123.76,738.93,106.88,103.15,1978.715,132.83,51.52,541.28,109.72,36.24,51.49,454.19,13.97
17/7/2023,46.46,153.38,327.2,193.99,345.73,290.38,310.62,124.65,727.87,104.39,104.79,1954.7355,133.56,51.62,540.66,108.71,35.86,51.88,450.84,13.89
14/7/2023,45.47,149.77,326.19,190.69,345.24,281.38,308.87,125.42,728.03,104.03,105.14,1954.9254,134.68,51.55,534.54,107.95,36.32,52.33,449.28,14.77
13/7/2023,45.98,148.87,328.68,190.54,342.66,277.9,313.41,124.54,739.8,102.74,105.57,1960.1945,134.3,51.38,526.48,107.84,36.06,52.97,449.56,14.97
12/7/2023,43.9,148.15,326.4,189.77,337.2,271.99,309.34,118.93,726,98.18,103.9,1957.0885,130.8,51.68,526.04,107.76,35.99,52.18,446.02,15
11/7/2023,42.41,147.42,320.88,188.08,332.47,269.79,298.29,117.14,710.2,98.47,101.26,1931.995,128.78,51.55,517.86,107.39,36.02,51.67,442.46,15.01
10/7/2023,42.18,145.15,316.47,188.61,331.83,269.61,294.1,116.45,696.17,93.37,99.77,1924.9937,127.13,51.63,515.29,105.78,35.68,50.9,439.66,14.85
07/7/2023,42.5,144.34,315.17,190.68,337.22,274.43,290.53,119.48,684.1,91.91,100.23,1924.2825,129.78,51.16,513.38,104.46,35.53,51.76,438.55,14.77
06/7/2023,42.1,143.21,313,191.81,341.27,276.54,291.99,120.11,680.63,92.02,99.41,1910.7972,128.36,52.37,525.42,105.1,35.63,52.1,439.66,14.77
05/7/2023,42.32,144.64,320.05,191.33,338.15,282.48,294.37,121.75,692.83,92.91,100.99,1917.3224,130.38,52.7,529.1,107.1,36.46,51.88,443.13,15.13
03/7/2023,42.41,146.61,326.61,192.46,337.99,279.82,286.02,119.9,693.58,94.76,103.15,1921.4285,130.22,52.73,529.01,109.11,36.65,51.81,443.79,15.02
30/6/2023,42.3,145.44,322.54,193.97,340.54,261.77,286.98,119.7,691.14,92.97,100.92,1919.5654,130.36,52.39,526.41,110.37,36.68,51.04,443.28,14.91
29/6/2023,40.82,143.43,323.09,189.59,335.05,257.5,281.53,119.1,688.21,92.81,100.64,1908.1525,127.9,51.43,519.87,113.37,36.12,50.69,438.11,14.74
28/6/2023,41.12,138.59,313.66,189.25,335.85,256.24,285.29,120.18,685.22,91.29,100.92,1907.4233,129.04,51.78,520.95,113.03,36.29,49.83,436.39,14.58
27/6/2023,41.88,139.2,313.45,188.06,334.57,250.21,287.05,118.33,684.64,91.33,102.08,1913.3525,129.18,51.5,518.54,113.61,36.42,49.96,436.17,14.2
26/6/2023,40.63,139.19,312.36,185.27,328.6,241.05,278.47,118.34,680.17,88.78,100.11,1922.8533,127.33,51.68,511.78,111.74,36.89,50.23,431.44,13.91
23/6/2023,42.21,138.85,314.71,186.68,335.02,256.6,288.73,122.34,680.45,87.84,101.91,1921.3632,129.33,51.82,512.78,109.52,38.3,49.5,433.21,13.82
22/6/2023,43.02,139.58,319.58,187,339.71,264.61,284.88,123.15,679.38,89.14,103.13,1913.516,130.15,51.92,512.54,110.46,38.73,50.41,436.51,13.99
21/6/2023,43.05,142.32,325.07,183.96,333.56,259.46,281.64,120.55,689.04,89.13,101.64,1932.2631,124.83,51.49,508.07,109.98,38.9,50.47,434.94,13.82
20/6/2023,43.81,142.53,330.72,185.01,338.05,274.45,284.33,123.1,690.95,90.62,103.98,1935.9139,125.78,51.39,508.14,109.54,39.34,49.83,437.18,14.02
16/6/2023,42.69,143.26,338.31,184.92,342.33,260.54,281,123.53,702.78,91.13,104.57,1957.3625,125.49,51.84,512.01,113.59,40.06,50.39,439.46,14.21
15/6/2023,42.65,143.09,339.74,186.01,348.1,255.9,281.83,125.09,711.19,92.65,105.18,1957.6548,127.11,52.58,517.41,112.41,39.75,50.21,442.6,14.24
14/6/2023,43,141.49,338.42,183.95,337.34,256.79,273.35,123.67,692.45,90.29,107.41,1942.9904,126.42,52.29,515.48,112.86,39.36,49.76,437.18,14
13/6/2023,41.02,142.02,342.5,183.31,334.29,258.71,271.32,123.83,689.09,90.67,106.8,1943.3285,126.66,51.77,510.41,106.78,40.28,50.26,436.66,13.93
12/6/2023,39.48,141,339.49,183.79,331.85,249.83,271.05,123.64,682.38,89.89,107.06,1956.9218,126.57,51.37,509.39,106.83,39.9,50.65,433.8,13.58
09/6/2023,38.77,141.01,336.02,180.96,326.79,244.4,264.95,122.23,684.4,88.19,102.8,1960.5997,123.43,51.03,505.78,105.86,38.97,50.37,429.9,13.54
08/6/2023,38.51,140.73,335.47,180.57,325.26,234.86,264.58,122.14,680.58,88.66,99.94,1967.7615,124.25,50.72,508.53,106.2,39.09,50.86,429.13,13.39
07/6/2023,37.48,140.69,335.75,177.82,323.38,224.57,263.6,122.5,678.23,87.3,100.29,1939.6318,121.23,50,499.86,107.09,38.89,51.33,426.55,13.4
06/6/2023,38.65,139.34,326.8,179.21,333.68,221.31,271.12,127.31,684.92,87.4,99.82,1962.8475,126.61,49.93,504.78,106.19,38.37,50.44,428.03,12.74
05/6/2023,39.17,139.09,321.81,179.58,335.94,217.61,271.39,126.01,676.49,85.52,98.05,1961.7581,125.3,49.93,506.73,105.2,38.65,50.51,427.1,12.41
02/6/2023,39.33,140.47,323.65,180.95,335.4,213.97,272.61,124.67,681.86,89,98.94,1947.6322,124.25,49.61,501.19,107.78,38.36,51.34,427.92,12.21
01/6/2023,39.77,137.58,316.4,180.09,332.58,207.52,272.61,123.72,668.84,87.14,98.84,1977.8751,122.77,49.14,501.2,103.63,38.02,50.61,421.82,11.94
31/5/2023,37.83,135.71,323.9,177.25,328.39,203.93,264.72,122.87,657.55,85.64,98.59,1962.3011,120.58,48.96,500.19,105.26,38.02,50.64,417.85,11.83
30/5/2023,40.11,137.46,330.83,177.3,331.21,201.16,262.52,123.67,673.58,86.4,101.98,1959.1445,121.66,48.69,496.73,106.52,37.01,52.38,420.18,12.41
26/5/2023,38.95,136.94,332.01,175.43,332.89,193.17,262.04,124.61,672.3,85.7,103.21,1946.3251,120.11,48.81,495.98,107.51,37.6,52.01,420.02,11.92
25/5/2023,37.98,135.67,323.88,172.99,325.92,184.47,252.69,123.48,660.52,83.53,100.95,1940.3364,115,48.72,475.73,107.48,37.83,51.76,414.65,11.22
24/5/2023,30.54,135.34,319.81,171.84,313.85,182.9,249.21,120.9,655,83.16,90.13,1957.0114,116.75,49.21,472.03,108.29,38.63,51.77,411.09,11.17
23/5/2023,30.69,136.59,323.57,171.56,315.26,185.77,246.74,122.56,661.53,83.73,90.44,1974.7275,114.99,49.44,474.09,108.78,39.64,51.67,414.09,11.56
22/5/2023,31.18,138.03,324.92,174.2,321.18,188.87,248.32,125.05,671.39,85.01,91.72,1969.4316,115.01,49.53,480.93,110.18,38.75,50.11,418.79,11.46
19/5/2023,31.26,139.18,326.15,175.16,318.34,180.14,245.64,122.76,666.7,83.08,92.58,1976.5551,116.25,49.97,485.48,114.76,36.77,49.96,418.62,11.48
18/5/2023,31.68,139.5,329.58,175.05,318.52,176.89,246.85,122.83,669.33,83.21,92.65,1958.0533,118.15,50.49,487.02,118.87,36.48,49.97,419.23,11.47
17/5/2023,30.18,138.45,330.18,172.69,314,173.86,242.49,120.84,650.64,83.72,90.88,1981.7222,115.5,49.84,483.99,116.98,36.75,50.12,415.23,11.34
16/5/2023,29.21,134.32,320.81,172.07,311.74,166.52,238.82,119.51,633.83,80.4,85.88,1988.6034,113.4,49.93,485.12,116.48,37.01,49.2,410.25,11.09
15/5/2023,28.95,135.23,322.07,172.07,309.46,166.35,238.86,116.51,644.75,83.13,85.66,2020.5997,111.2,50.63,490.88,119.83,37.16,49.47,413.01,11.47
12/5/2023,28.34,134.1,319.5,172.57,308.97,167.98,233.81,117.51,645.1,82.86,83.43,2011.15,110.26,51.02,492.86,120.21,37.35,48.87,411.59,11.5
11/5/2023,28.58,136.05,320.72,173.75,310.11,172.08,235.79,116.57,642.02,83.28,83.43,2015.5499,112.18,51.04,490.73,122.22,37.58,49.34,412.13,11.7
10/5/2023,28.89,136.48,322.55,173.56,312.31,168.54,233.08,111.75,629.18,82.58,84.9,2029.51,110.19,50.85,488.55,123.51,38.3,47.28,412.85,11.72
09/5/2023,28.57,136.41,324.77,171.77,307,169.15,233.37,107.35,635.57,81.63,85.06,2034.17,106.62,50.99,489.65,125.1,38.48,48.82,410.93,11.69
08/5/2023,29.15,137.07,326.51,173.5,308.65,171.79,233.27,107.77,643.14,81.17,85.54,2021.39,105.83,50.91,487.96,126.88,38.67,50.73,412.74,11.85
05/5/2023,28.68,136.74,327.02,173.57,310.65,170.06,232.78,105.57,644.48,82.16,84.97,2016.5428,105.66,50.59,487.96,126.59,38.49,60.69,412.63,11.82
04/5/2023,27.56,134.12,321.26,165.79,305.41,161.2,233.52,104.69,631.66,80.71,83.49,2051.1084,104,50.16,479.44,123.67,38.23,60.13,405.13,11.39
03/5/2023,27.8,135.98,328.65,167.45,304.4,160.61,237.03,105.41,642.41,83.03,82.7,2039.0168,103.65,50.21,479.16,126.74,38.45,60.56,408.02,11.62
02/5/2023,28.21,138.92,333.37,168.54,305.41,160.31,239.24,105.32,651.46,84.66,82.96,2016.278,103.63,50.39,483.81,127.26,39.06,60.94,410.84,11.63
01/5/2023,28.91,141.2,340.57,169.59,305.56,161.83,243.18,107.2,662.97,88.75,83.98,1982.0453,102.05,50.53,482.62,127.92,39.21,62.33,415.51,11.89
28/4/2023,27.75,138.24,343.44,169.68,307.26,164.31,240.32,107.34,671.2,89.33,84.3,1989.6475,105.45,50.32,492.03,126.72,38.89,62.49,415.93,11.71
27/4/2023,27.23,137.05,341.6,168.41,304.83,160.19,238.56,107.59,662.68,87.14,83.67,1987.8702,109.82,50.46,490.12,125.7,38.74,61.28,412.41,11.44
26/4/2023,26.96,135.23,336.56,163.76,295.37,153.75,209.4,103.71,650.67,85.31,82.25,1989.4799,104.98,50.3,483.66,123.84,38.63,60.35,404.36,11.37
25/4/2023,26.24,137.67,339.48,163.77,275.42,160.67,207.55,103.85,659.71,86.43,82.29,1997.8723,102.57,50.52,491.98,124.66,39.33,61,406.08,11.6
24/4/2023,27.04,140.73,343.96,165.33,281.77,162.55,212.79,105.97,674.19,88.62,84.64,1988.8757,106.21,50.92,500.05,127.09,39.91,60.91,412.63,11.99
21/4/2023,27.12,140.54,341.66,165.02,285.76,165.08,212.89,105.41,680.94,89.45,85.37,1982.8948,106.96,50.58,495.09,125.53,40.21,61,412.2,11.64
20/4/2023,27.1,140.81,338.71,166.65,286.11,162.99,213.07,105.29,696.38,91.94,89.29,2004.3384,103.81,50.32,494.34,124.45,39.85,60.86,411.88,11.7
19/4/2023,27.93,141.22,336.89,167.63,288.45,180.59,215.7,104.18,695.24,92.55,87.23,1993.2642,104.3,50,485,125.67,40.24,61.62,414.14,12.04
18/4/2023,27.67,141.4,333.91,166.47,288.37,184.31,217.89,104.5,694.03,91.5,88.14,2004.926,102.3,49.95,485.85,126.21,40.55,60.87,414.21,12.55
17/4/2023,27,139.83,339.68,165.23,288.8,187.04,218.86,105.97,698.36,87.23,87.99,1994.7711,102.74,49.84,482.96,126.19,41.18,61.44,413.94,12.5
14/4/2023,26.76,138.73,336.92,165.21,286.14,185,221.49,108.87,691.33,85.32,87.2,2003.04,102.51,49.49,480.38,125.95,41.19,60.82,412.46,12.34
13/4/2023,26.46,128.99,332.13,165.56,289.84,185.9,220.35,107.43,670.73,84.31,87.05,2039.735,102.4,49.83,486.82,126.43,41.47,61.69,413.47,12.28
12/4/2023,26.5,128.5,330.24,160.1,283.49,180.54,214,104.64,665.97,82.61,86.87,2014.6711,97.83,49.78,478.47,123.66,41.37,61.58,408.05,12.49
11/4/2023,27.17,128.52,327.37,160.8,282.83,186.79,213.85,105.35,669.68,83.4,89.24,2003.1409,99.92,50.02,487.56,123.3,41.79,62.05,409.72,12.69
10/4/2023,27.58,127.89,324.96,162.03,289.39,184.51,214.75,106.44,659.82,81.59,89.02,1989.955,102.17,50.17,482.85,121.91,41.73,61.05,409.61,12.54
06/4/2023,27.04,127.47,322.4,164.66,291.6,185.06,216.1,108.42,656.4,82.19,90.24,2008.0164,102.06,50.27,475.17,120.22,41.5,59.61,409.19,12.15
05/4/2023,26.88,127.61,321.53,163.76,284.34,185.52,211.48,104.47,656.04,81.41,90.2,2020.3533,101.1,49.89,486.08,120.9,41.55,59.96,407.6,12.25
04/4/2023,27.45,128.42,322.65,165.63,287.18,192.58,214.72,104.72,659.11,81.2,92.17,2019.9702,103.95,49.08,486.66,123.69,40.9,59.68,408.67,12.54
03/4/2023,27.96,130.16,326.52,166.17,287.23,194.77,213.07,104.36,666.41,84.96,92.84,1984.1057,102.41,49.56,485.98,121.67,41.35,59.41,410.95,12.5
31/3/2023,27.78,130.31,327.11,164.9,288.3,207.46,211.94,103.73,669.12,87.84,93.02,1967.9,103.29,49.15,485.82,122.64,40.8,59.32,409.39,12.42
30/3/2023,27.38,128.75,321.14,162.36,284.05,195.28,207.84,100.89,661.04,85.75,92.47,1980.2502,102,48.56,480.55,120.1,40.38,58.32,403.7,12.11
29/3/2023,26.98,129.14,320.72,160.77,280.51,193.88,205.35,101.39,657.22,85.18,92.76,1964.0404,100.25,48.08,479.96,120.49,40.25,58.25,401.35,11.88
28/3/2023,26.41,128.88,318.44,157.65,275.23,189.19,200.68,101.03,646.24,83.66,90.81,1973.6927,97.24,47.87,475.95,117.87,39.99,57.85,395.6,11.43
27/3/2023,26.53,128.49,318.53,158.28,276.38,191.81,202.84,102.46,648.32,84.19,90.66,1956.5594,98.04,48.06,482.25,117.81,40.22,57.99,396.49,11.35
24/3/2023,26.78,124.91,312.57,160.25,280.57,190.41,206.01,105.44,644.88,83.94,92.79,1977.2172,98.13,47.27,484.26,120.71,40.39,57.06,395.75,11.35
23/3/2023,27.19,126.84,314.85,158.93,277.66,192.22,204.28,105.6,651.78,84.45,94.59,1993.5033,98.71,46.88,476.91,120.97,40.18,56.08,393.17,11.26
22/3/2023,26.47,127.18,313.67,157.83,272.29,191.15,199.81,103.37,648.32,83.98,92.62,1969.5811,98.7,46.51,476.68,119.5,40.01,57.2,392.11,11.32
21/3/2023,26.2,130.55,317.28,159.28,273.78,197.58,202.16,104.92,662.15,86.88,92.5,1940.1461,100.61,46.81,479.94,125.61,40.66,58.23,398.91,11.55
20/3/2023,25.9,127.14,309.53,157.4,272.23,183.25,197.81,101.22,643.56,82.54,90.04,1978.7122,97.71,46.97,478.41,121.2,40.81,58.57,393.74,11.02
17/3/2023,25.73,125.81,303.54,155,279.43,180.13,195.61,101.62,636.71,84.89,89.47,1987.9301,98.95,46.47,476.22,120.39,40.1,58.54,389.99,11.14
16/3/2023,25.54,130.75,315.09,155.85,276.2,184.13,204.93,100.32,636.98,87.26,89.3,1919.1161,100.04,46.09,476.43,120.65,40.37,58.53,396.11,11.65
15/3/2023,24.23,128.26,312.19,152.99,265.44,180.45,197.75,96.11,631.74,86.67,86.7,1918.0975,96.2,46.55,474.86,118.17,40.28,58.14,389.28,11.54
14/3/2023,24.06,134.62,322.15,152.59,260.79,183.26,194.02,93.97,637.83,86.21,89.29,1902.1171,94.88,46.03,471.2,119,39.9,57.3,391.73,11.76
13/3/2023,22.97,131.25,315.51,150.47,253.92,174.48,180.9,91.11,625.77,83.48,87.74,1913.235,92.43,45.79,461.51,116.86,39.86,57.21,385.36,11.86
10/3/2023,22.96,133.65,327.67,148.5,248.59,173.44,179.51,90.63,635.03,80.22,87.25,1867.83,90.73,45.66,460.66,117.49,39.39,56.98,385.91,11.93
09/3/2023,23.44,130.34,342.09,150.59,252.32,172.92,181.69,92.32,651.28,84.99,88.88,1830.89,92.25,45.72,468.86,117.87,39.46,57.64,391.56,12.27
08/3/2023,24.18,137.8,349.29,152.87,253.7,182,184.97,94.25,674.36,91.51,90.83,1813.59,93.92,46.03,475.23,119.86,40.12,58.51,398.92,12.79
07/3/2023,23.29,138.62,346.08,151.6,254.15,187.71,184.51,93.86,674.66,89.47,88.85,1813.52,93.55,46.42,474.36,119.59,40.34,58.37,398.27,12.65
06/3/2023,23.55,142.82,357.05,153.83,256.87,193.81,184.9,95.13,688.39,91.52,89.58,1846.85,93.75,46.88,472.34,120.17,41.11,58.75,404.47,12.79
03/3/2023,23.89,143.66,357.09,151.03,255.29,197.79,185.25,93.65,695.24,91.22,89.79,1854.97,94.9,46.89,464.69,120.94,41.15,59.23,404.19,12.89
02/3/2023,23.31,141.07,349.1,145.91,251.11,190.9,174.53,92,685.91,89.06,89.03,1836.0004,92.13,46.83,474.89,119.58,40.62,59.06,397.81,12.37
01/3/2023,22.7,142.55,346.23,145.31,246.27,202.77,173.42,90.36,680.56,89.78,88.42,1836.8051,92.17,46.72,468.03,118.58,40.18,59.29,394.74,12.14
28/2/2023,23.22,143.35,351.65,147.41,249.42,205.71,174.94,90.06,689.43,90.8,87.07,1827.15,94.23,47.38,473.41,118.79,40.57,59.24,396.26,11.9
27/2/2023,23.5,142.16,365.53,147.92,250.16,207.63,169.54,89.87,683.06,89.93,87.3,1817.31,93.76,47.15,476.2,118.53,40.78,60.41,397.73,11.89
24/2/2023,23.29,140.93,363.85,146.71,249.22,196.88,170.39,89.13,683.43,89.06,88.11,1810.81,93.5,47.49,477.75,118.04,41.75,61.23,396.38,11.71
23/2/2023,23.66,139.67,363.54,149.4,254.77,202.07,172.04,90.89,691.84,91.02,90.08,1822.64,95.82,47.36,482.18,119.96,42.3,62.36,400.66,11.9
22/2/2023,20.75,138.56,360.89,148.91,251.51,200.86,171.12,91.65,687.41,90.9,86.83,1825.04,95.79,48.08,486.33,119.9,42.38,61.74,398.54,12.04
21/2/2023,20.66,139.63,361.12,148.48,252.67,197.37,172.08,91.79,695.75,90.73,87.64,1834.3232,94.58,49.11,490.58,121.1,42.7,60.72,399.09,12.03
17/2/2023,21.39,142.24,368.5,152.55,258.06,208.31,172.88,94.35,716.16,93.52,90.1,1841.59,97.2,48.81,496.2,124.84,43.21,61.37,407.26,12.71
16/2/2023,22,141.82,370.2,153.71,262.15,202.04,172.44,95.51,713,94.44,90.82,1837.44,98.15,48.09,492.89,124.38,42.95,60.69,408.28,12.72
15/2/2023,22.76,143.8,374.34,155.33,269.32,214.24,177.16,96.94,724.19,96.63,92.76,1836.19,101.16,48.86,499.91,127.48,43.32,61.25,413.98,12.74
14/2/2023,22.97,143.2,371.78,153.2,272.17,209.25,179.48,94.68,729.15,96.77,97.96,1854.29,99.7,48.5,492.03,126.2,43.72,60.89,412.64,12.78
13/2/2023,21.79,142.57,374.02,153.85,271.32,194.64,179.43,94.61,736.91,96.44,96.11,1853.39,99.54,48.64,495.19,125.15,43.99,60.96,412.83,12.9
10/2/2023,21.27,141.04,371.28,151.01,263.1,196.89,174.15,94.57,723.51,93.13,95.37,1864.67,97.61,47.91,488.87,122.23,43.88,60.39,408.04,12.55
09/2/2023,22.34,140.42,367.99,150.87,263.62,207.32,177.92,95.01,715.97,91.87,96.69,1861.39,98.24,47.17,489.5,122.18,43.34,60.64,407.09,12.66
08/2/2023,22.2,142.64,375.1,151.92,266.73,201.29,183.43,99.37,729.86,94.62,94.28,1875.59,100.05,46.74,492.61,122.91,43.98,59.98,410.65,12.59
07/2/2023,22.17,143.65,374.4,154.65,267.56,196.81,191.62,107.64,740.82,96.71,94.55,1873.81,102.11,46.99,505.04,125.33,43.59,61.41,415.19,12.62
06/2/2023,21.09,141.92,370.8,151.73,256.77,194.76,186.06,102.9,742.38,95.72,91.83,1867.36,102.18,46.89,504.13,125.73,43.76,61.08,409.83,12.33
03/2/2023,21.1,141.09,369.95,154.5,258.35,189.98,186.53,104.78,757.16,97.13,94.66,1865.53,103.39,47.24,503.35,127.61,44.06,64.03,412.35,12.41
02/2/2023,21.71,138.94,369.47,150.82,264.6,188.27,188.77,107.74,770.73,100.03,96.65,1912.37,112.91,47.87,511.79,129.06,44.34,65.13,416.78,13.43
01/2/2023,20.94,139.59,365.71,145.43,252.75,181.41,153.12,100.43,762.63,97.21,94.74,1950.42,105.15,48.22,506.39,129.5,43.97,65.13,410.8,12.94
31/1/2023,19.54,139.96,365.81,144.29,247.81,173.22,148.97,98.84,759.21,95.96,92.73,1927.88,103.13,47.96,499.77,127.33,44.16,65.75,406.48,12.67
30/1/2023,19.16,139.13,357.46,143,242.71,166.66,147.06,96.94,747.86,94.9,93.13,1922.5173,100.55,47.38,492.09,126.37,43.55,64.1,400.59,12.09
27/1/2023,20.36,140.32,353.7,145.93,248.16,177.9,151.74,99.37,759.18,95.86,93.3,1927.34,102.24,47.77,492.1,127.53,43.79,65.72,405.68,12.45
26/1/2023,19.8,139.98,354.97,143.96,248,160.27,147.3,97.52,758.9,93.81,93.45,1928.99,99.22,47.4,487.22,127.53,44.25,65.49,404.75,12.12
25/1/2023,19.32,139.12,349.63,141.86,240.61,144.43,141.5,95.22,751.25,88.86,92.41,1945.93,97.18,47.45,479.97,126.82,45.07,65.81,400.35,12
24/1/2023,19.27,138.45,348.33,142.53,242.04,143.89,143.14,97.7,752.07,88.22,94.56,1937.45,96.32,47.67,481.17,126.83,44.71,65.24,400.2,11.95
23/1/2023,19.19,137.27,349.14,141.11,242.58,143.75,143.27,99.79,748.02,87.83,95.66,1931.3,97.52,47.55,481.66,128.29,44.98,66.15,400.63,12.01
20/1/2023,17.84,135.08,341.84,137.87,240.22,133.42,139.37,98.02,741.71,85.01,91.03,1926.574,97.25,46.85,469.43,126.62,45.11,64.7,395.88,11.63
19/1/2023,16.77,134.75,350.75,135.27,231.93,127.17,136.15,93.05,729.87,80.52,88.4,1931.39,93.68,46.28,459.05,124.53,44.96,63.49,388.64,11.43
18/1/2023,17.38,136.57,349.09,135.21,235.81,128.78,133.02,91.12,747.36,83.99,89.47,1903.76,95.46,46.95,468.81,126.43,45,63.87,391.49,11.64
17/1/2023,17.7,140.8,349.92,135.94,240.35,131.49,135.36,91.29,749.73,85.88,88.99,1908.39,96.05,48.14,475.95,128.14,46.08,65.36,397.77,11.89
13/1/2023,16.9,143.01,374,134.76,239.23,122.4,136.98,92.12,753.99,85.04,86.8,1920.21,98.12,48.43,474.46,128.85,47.85,64.98,398.5,11.93
12/1/2023,16.51,139.49,369.94,133.41,238.51,123.56,136.71,91.13,753.96,85.06,87,1896.86,95.27,48.27,471.7,127.89,47.71,64.83,396.96,12.6
